"location","time_period","disease_cases","rainfall","mean_temperature","net_time"
"CSB1 AMBALAVOLO",2016-07-01,5,0,18.1770599287797,0.920547945205479
"CSB1 AMBALAVOLO",2016-08-01,3,0,20.1690984996868,1.00547945205479
"CSB1 AMBALAVOLO",2016-09-01,3,0,22.1229010785881,1.09041095890411
"CSB1 AMBALAVOLO",2016-10-01,4,50.5937175426992,25.6162305599894,1.17260273972603
"CSB1 AMBALAVOLO",2016-11-01,0,125.435660547658,26.4258659411092,1.25753424657534
"CSB1 AMBALAVOLO",2016-12-01,0,66.6397222896328,26.8695976093111,1.33972602739726
"CSB1 AMBALAVOLO",2017-01-01,2,38.3782812692037,26.9057013079702,1.42465753424658
"CSB1 AMBALAVOLO",2017-02-01,15,244.129604507273,25.803236916198,1.50958904109589
"CSB1 AMBALAVOLO",2017-03-01,30,220.321610047779,24.3541435274607,1.58630136986301
"CSB1 AMBALAVOLO",2017-04-01,11,44.7800261868104,22.9178522417898,1.67123287671233
"CSB1 AMBALAVOLO",2017-05-01,11,0,21.553940146164,1.75342465753425
"CSB1 AMBALAVOLO",2017-06-01,0,0,19.8550510151029,1.83835616438356
"CSB1 AMBALAVOLO",2017-07-01,8,0,19.1283135744562,1.92054794520548
"CSB1 AMBALAVOLO",2017-08-01,1,0,19.847942670902,2.00547945205479
"CSB1 AMBALAVOLO",2017-09-01,1,0,22.4143602093859,2.09041095890411
"CSB1 AMBALAVOLO",2017-10-01,4,0.527045322431293,24.4985287224227,2.17260273972603
"CSB1 AMBALAVOLO",2017-11-01,3,164.36013358614,25.0710261150492,2.25753424657534
"CSB1 AMBALAVOLO",2017-12-01,15,308.541993771545,25.8365811380345,2.33972602739726
"CSB1 AMBALAVOLO",2018-01-01,31,288.888398438524,25.2237202065293,2.42465753424658
"CSB1 AMBALAVOLO",2018-02-01,1,169.377511990298,25.1294038149655,2.50958904109589
"CSB1 AMBALAVOLO",2018-03-01,25,118.121442506834,24.4998230288695,2.58630136986301
"CSB1 AMBALAVOLO",2018-04-01,43,33.8519863353069,22.6060866829038,2.67123287671233
"CSB1 AMBALAVOLO",2018-05-01,29,0,21.6362586904862,2.75342465753425
"CSB1 AMBALAVOLO",2018-06-01,3,0,19.8541760206141,2.83835616438356
"CSB1 AMBALAVOLO",2018-07-01,3,0,18.2441343505558,2.92054794520548
"CSB1 AMBALAVOLO",2018-08-01,1,0,20.7993007366034,0.00273972602739726
"CSB1 AMBALAVOLO",2018-09-01,2,0,23.1024895157615,0.0876712328767123
"CSB1 AMBALAVOLO",2018-10-01,3,10.3763183423303,24.4442562786436,0.16986301369863
"CSB1 AMBALAVOLO",2018-11-01,7,54.1189836979309,25.6157992223009,0.254794520547945
"CSB1 AMBALAVOLO",2018-12-01,10,116.005841303591,26.4350124568438,0.336986301369863
"CSB1 AMBALAVOLO",2019-01-01,18,297.675463120664,25.8547752488986,0.421917808219178
"CSB1 AMBALAVOLO",2019-02-01,17,150.195231757225,25.4549112222998,0.506849315068493
"CSB1 AMBALAVOLO",2019-03-01,18,149.341252121777,24.5510723423839,0.583561643835616
"CSB1 AMBALAVOLO",2019-04-01,12,50.4147662749915,23.8456656402178,0.668493150684932
"CSB1 AMBALAVOLO",2019-05-01,5,0,21.4088912451276,0.750684931506849
"CSB1 AMBALAVOLO",2019-06-01,1,12.541273579109,19.0243673561968,0.835616438356164
"CSB1 AMBALAVOLO",2019-07-01,2,0,19.0736657613545,0.917808219178082
"CSB1 AMBALAVOLO",2019-08-01,2,0,20.6452177629242,1.0027397260274
"CSB1 AMBALAVOLO",2019-09-01,1,0,22.5114786233165,1.08767123287671
"CSB1 AMBALAVOLO",2019-10-01,7,32.2217802740724,25.3897874497439,1.16986301369863
"CSB1 AMBALAVOLO",2019-11-01,4,191.608828906744,26.5257087938735,1.25479452054795
"CSB1 AMBALAVOLO",2019-12-01,13,205.825824938456,26.4402337104901,1.33698630136986
"CSB1 AMBALAVOLO",2020-01-01,28,309.778810581363,25.4325836017841,1.42191780821918
"CSB1 AMBALAVOLO",2020-02-01,78,226.75537843717,24.6926032969068,1.50684931506849
"CSB1 AMBALAVOLO",2020-03-01,62,105.650753749456,23.8272635692229,1.58630136986301
"CSB1 AMBALAVOLO",2020-04-01,83,21.7677869329679,22.5920806646463,1.67123287671233
"CSB1 AMBALAVOLO",2020-05-01,58,16.5061330079497,21.313784742921,1.75342465753425
"CSB1 AMBALAVOLO",2020-06-01,30,0,18.9123585597507,1.83835616438356
"CSB1 AMBALAVOLO",2020-07-01,14,0,18.191979029451,1.92054794520548
"CSB1 AMBALAVOLO",2020-08-01,6,0,20.2279399775871,2.00547945205479
"CSB1 AMBALAVOLO",2020-09-01,3,0,22.1291200234372,2.09041095890411
"CSB1 AMBALAVOLO",2020-10-01,9,26.933550191978,24.4299559377761,2.17260273972603
"CSB1 AMBALAVOLO",2020-11-01,57,55.9953714345168,26.0821070664527,2.25753424657534
"CSB1 AMBALAVOLO",2020-12-01,69,251.603485216927,25.7873920476042,2.33972602739726
"CSB1 AMBALAVOLO",2021-01-01,104,99.8329044827745,26.6705991495496,2.42465753424658
"CSB1 AMBALAVOLO",2021-02-01,119,405.156864011566,25.372240997712,2.50958904109589
"CSB1 AMBALAVOLO",2021-03-01,178,158.297730994681,24.2579734502158,2.58630136986301
"CSB1 AMBALAVOLO",2021-04-01,105,86.3713550179486,23.0734506391926,2.67123287671233
"CSB1 AMBALAVOLO",2021-05-01,108,2.28434730876413,21.6326852132103,2.75342465753425
"CSB1 AMBALAVOLO",2021-06-01,67,0,19.2717451070836,2.83835616438356
"CSB1 AMBALAVOLO",2021-07-01,20,0,18.815950626337,2.92054794520548
"CSB1 AMBALAVOLO",2021-08-01,5,0,20.1117991292503,0.00273972602739726
"CSB1 AMBALAVOLO",2021-09-01,NA,0,21.9042394828363,0.0876712328767123
